Filter Type,Filter Order,Cutoff Frequency (Hz),Sampling Frequency (Hz),Ripple Factor,Stopband Attenuation (dB),Passband Ripple,Bandwidth (Hz),Phase Response (°),Attenuation Factor,Filter Design Method,Filter Coefficients
Elliptic,6,7.151000870054188,672.0129816494857,0.3968281249242872,86.43861352468527,0.7463106482363089,2.4807700416315077,-152.88915444330576,0.7099456532122804,Chebyshev,"[0.3977694311802369, 0.662930577001182, 0.15169229934197892, 0.3336226243685566, 0.20522262936110636]"
Chebyshev Type I,5,4.189797598779916,208.35239490927034,0.153485505342852,64.58378923112312,0.42464483426580585,1.1413024035808155,-72.72872523373417,0.32162944717196185,Chebyshev,"[0.13412864942685687, 0.8423080524803339, 0.410119670556344, 0.4416757449534545, 0.276590206641974]"
Butterworth,3,0.4280321010625031,117.18050662170594,0.14533691127647072,44.87640771686311,0.1550592701469925,0.995425653696562,-46.58323154708836,0.11039660328787515,Chebyshev,"[0.23771249099422986, 0.49267278018603367, 0.3306768813450217, 0.09025500347942195, 0.07776415703877904]"
Chebyshev Type II,5,6.965757232959837,592.932532494097,0.30490447442385993,73.76528088989761,0.6747012285749903,1.9206283270430085,159.15368874978233,0.4583928142953576,Butterworth Approximation,"[0.5840430320340824, 0.9898352737258039, 0.19263589109210422, 0.25927212301567937, 0.6271938780499863]"
Elliptic,7,8.119807518976943,707.278318403535,0.38260968555425884,92.35640158413102,0.8077929446188716,2.188015020122219,12.321028453898208,0.7550070667192728,Optimization,"[0.5214763171148222, 0.7200129489366928, 0.8459501806448358, 0.5126461626122202, 0.9227831259436774]"
Chebyshev Type II,7,5.308142644088936,598.1841147266919,0.29281691987327,72.53789581619786,0.5737591401296679,1.7464741923501559,77.25257375301368,0.49079912397855663,Windowing,"[0.12108399177536433, 0.790914164813463, 0.1173718671808669, 0.7255141559461968, 0.46298262204379625]"
Bessel,11,8.720691883573137,926.8971247321623,0.41717941095331906,95.58089093174007,0.9658164254652724,2.898309958629636,83.06871459390584,0.9907757396828291,Elliptic,"[0.23011897554048277, 0.3578104610115036, 0.983517349282298, 0.2200697310139902, 0.8166457128913627]"
Chebyshev Type I,4,2.2670956522667023,237.39183818729194,0.15559313506292993,67.11962333821852,0.45629036846644144,1.3450252186257512,-20.874112026060374,0.398810577492675,Butterworth Approximation,"[0.653681865251272, 0.07138573223033173, 0.41985256741889254, 0.8473880994901725, 0.7923695099779434]"
Elliptic,9,8.420370941141245,620.4533077313889,0.35405974580886107,91.2101322739502,0.7050752756533157,2.153765314006858,-77.36171878820709,0.7313440025063012,Windowing,"[0.3954350020423377, 0.9333729424302508, 0.6953129886031176, 0.8811393891420438, 0.16232451051383756]"
Chebyshev Type I,4,3.1642856348017547,278.69555767821697,0.17633962575907455,54.544918305091606,0.48965205049984156,1.2489606130489803,-136.98980516033834,0.21151749757004565,Chebyshev,"[0.896425735243825, 0.2291975821733715, 0.622563846375149, 0.4384061299974188, 0.8929935181975399]"
